,standing stones/bouldrers,orthostats/boulders and bank,ditch and bank,bank ,stones on or protrude from mound,"other, inc once below mound",regularly spaced,irregularly spaced,contiguoius,bank faced inside,bank faced outside,stones on inside and outside,orthostats in centre of bank,all horizontal,stones protrrude from/on mound ,below mound,no perimeter focal point,gap,porch,portal stones,tall stone ,recumbent,splayed,other,nothing in interior,mound whole are,mound separate,mound seperte &kerb,ring cairn,boulder burial,megalithic tomb,menhir,boulder,stone circle insiode,other stone structure,other,menir outside,more than one mehir outside,arc outside,paired stones outside,avenue row,other,part of complex,other,diam 1,diam 2,diam 3,diam 4
"Studfoldgate, C",y,,,,,,y,,,,,,,,,,?,,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Sunbrick concentric, C",y,,,,,,y,,,,,,,?,,,y,,,,,,,,?,,,,,,,,,y,,,,,,,,,,,y,,,
"Swinside, C",y,,,,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,
"The Beacon/Knapperthaw, C",,y,,,,,,,,?,,,,,,,,,,?,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
The Devil's Quoits,,,y,,,,y,,,,,,,,,,,y,,,,,,,,,,,,,,,,y,,,,,,,,,,,,,,y
"The Kirk, C",,y,,,,,y,,,?,,,,,,,,,,,,,,y,y,,,,,,,,,,,,,,,y,,,,,y,,,
"Threaplnds, C",y,,,,,,y,,,,,,,,,,,y,,,,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
Tigh Na Ruaich   ,y,,,,,,y,,,,,,,,,,,?,,,?,,,,y,,,,,,,,,,,,,,,,,,,,y,,,
"Torhoukie, D&G",y,,,,,,y,,,,,,,,,,y,,,,,,,,,y,,,,,,,,,y,,,,,,,,y,,y,,,
"Trecastle Mountain NE, Powys",y,,,,,,,?,,,,,,,,,,,,?,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Tregeseal  E, corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Tregesseal W, corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,y,,y,,,
"Trippet Stones, corn",y,,,,,,y,,,,,,,,,,y,,,,,,,,y,,,,,,,,,,,,,,,,,,,,,y,,
"Tunstead/Cadtser, derby",,y,,,,,,,,,,?,,,,,,y,,,,,,,,,,,,,,,,,,,?,,,,,,,,y,,,
